               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095194,            0.019331,            0.026457,            0.098147,             0.39855,             0.11943,            0.041978,            0.054341,           0.0095792,            0.019693,            0.070219,            0.003309,            0.003309
                   1,            0.068845,            0.023557,            0.023547,             0.21074,             0.51553,             0.25896,            0.094853,            0.045006,           0.0083406,            0.017578,            0.040153,           0.0065766,           0.0065766
                   2,            0.059665,            0.022583,            0.020362,              0.8201,              0.2381,             0.41264,             0.20618,            0.042529,           0.0075015,            0.013147,            0.010021,           0.0097782,           0.0097782
                   3,             0.05527,            0.022455,             0.01777,             0.72206,             0.45144,             0.54188,             0.29739,            0.038354,           0.0068523,            0.011331,            0.009703,            0.009703,            0.009703
                   4,            0.052492,            0.021511,            0.015562,              0.7149,             0.47723,             0.61829,             0.27355,            0.038572,           0.0064663,           0.0077956,            0.009703,            0.009703,            0.009703
                   5,            0.049881,            0.021324,            0.014345,             0.74296,             0.49937,             0.63743,             0.33602,            0.035884,           0.0064191,           0.0077679,            0.009604,            0.009604,            0.009604
                   6,            0.047897,            0.020675,            0.014565,             0.76382,             0.67099,             0.75705,             0.41113,             0.03479,           0.0064377,           0.0054971,            0.009505,            0.009505,            0.009505
                   7,            0.045233,            0.020456,            0.013304,             0.67084,             0.69857,             0.74853,             0.40517,            0.032077,           0.0066764,            0.004697,            0.009406,            0.009406,            0.009406
                   8,            0.045125,            0.020911,            0.013005,             0.66148,             0.54244,             0.67476,             0.38323,            0.033239,           0.0068548,           0.0056942,            0.009307,            0.009307,            0.009307
                   9,             0.04322,            0.020463,            0.012663,             0.68994,             0.54451,             0.64554,              0.3523,            0.031803,           0.0071219,           0.0044121,            0.009208,            0.009208,            0.009208
                  10,            0.042581,             0.02084,             0.01171,             0.70306,             0.78097,             0.77514,             0.42465,            0.030998,            0.006602,            0.005255,            0.009109,            0.009109,            0.009109
                  11,            0.042894,            0.020815,            0.012668,             0.91552,             0.62693,             0.77704,             0.41779,            0.029204,           0.0063286,           0.0069024,             0.00901,             0.00901,             0.00901
                  12,            0.042153,            0.020545,            0.011064,              0.6907,             0.74868,             0.70481,             0.39165,            0.030188,           0.0067329,           0.0062197,            0.008911,            0.008911,            0.008911
                  13,            0.042117,            0.019945,            0.010169,             0.69892,             0.77433,             0.77666,             0.40607,            0.027916,           0.0066865,             0.00627,            0.008812,            0.008812,            0.008812
                  14,            0.040832,            0.019135,            0.011949,             0.84805,             0.73292,              0.8042,             0.39016,            0.030346,           0.0065592,           0.0037776,            0.008713,            0.008713,            0.008713
                  15,            0.039931,            0.019789,            0.010951,             0.82025,             0.64182,             0.76316,             0.38424,            0.031913,           0.0065835,           0.0039536,            0.008614,            0.008614,            0.008614
                  16,            0.039052,            0.019072,           0.0094142,             0.77931,             0.72881,             0.78523,             0.45973,            0.029946,           0.0067605,             0.00359,            0.008515,            0.008515,            0.008515
                  17,             0.03872,            0.019634,             0.01006,             0.77432,             0.78028,             0.82426,             0.45031,            0.028156,           0.0064371,            0.003792,            0.008416,            0.008416,            0.008416
                  18,            0.038385,            0.018722,             0.01018,             0.87475,             0.61387,             0.76927,             0.40046,            0.030464,           0.0062564,           0.0059554,            0.008317,            0.008317,            0.008317
                  19,            0.038276,            0.019466,           0.0094369,             0.78351,             0.69078,             0.77672,             0.44991,            0.029082,           0.0068564,           0.0045947,            0.008218,            0.008218,            0.008218
                  20,             0.03747,            0.019567,           0.0094741,             0.83349,             0.58799,             0.74396,             0.39633,            0.028939,           0.0067286,           0.0053017,            0.008119,            0.008119,            0.008119
                  21,             0.03657,            0.018586,           0.0095839,             0.77119,              0.6118,             0.76079,             0.41642,            0.027675,           0.0064059,            0.005609,             0.00802,             0.00802,             0.00802
                  22,            0.037474,            0.019503,            0.010079,             0.87004,             0.75214,             0.83483,             0.44558,            0.027202,           0.0064701,           0.0051271,            0.007921,            0.007921,            0.007921
                  23,            0.036141,             0.01805,           0.0089674,             0.83624,             0.73418,             0.82643,             0.43821,               0.028,           0.0061854,           0.0034012,            0.007822,            0.007822,            0.007822
                  24,            0.036386,            0.018461,           0.0084306,             0.93523,             0.68116,             0.81534,             0.49356,             0.02711,           0.0063465,           0.0026184,            0.007723,            0.007723,            0.007723
                  25,            0.035565,            0.019018,            0.008976,             0.98484,             0.63372,             0.82899,             0.51619,            0.026668,           0.0064466,           0.0042086,            0.007624,            0.007624,            0.007624
                  26,            0.034799,             0.01873,           0.0074663,             0.74594,             0.66487,             0.76453,             0.46849,            0.027203,           0.0063939,           0.0057571,            0.007525,            0.007525,            0.007525
                  27,            0.033935,            0.018311,           0.0083723,             0.78755,             0.66149,             0.77934,             0.48915,            0.027436,           0.0062968,            0.005399,            0.007426,            0.007426,            0.007426
                  28,            0.035923,            0.018851,           0.0086707,             0.84441,             0.63975,             0.78411,             0.47462,            0.025959,           0.0066935,           0.0040096,            0.007327,            0.007327,            0.007327
                  29,            0.035004,            0.018538,           0.0087144,             0.88576,             0.70704,             0.81286,             0.49657,            0.025737,           0.0061551,           0.0041724,            0.007228,            0.007228,            0.007228
                  30,            0.034706,            0.018141,           0.0065541,             0.87489,             0.75721,             0.80832,             0.48604,             0.02665,           0.0062113,           0.0037019,            0.007129,            0.007129,            0.007129
                  31,              0.0342,            0.018187,            0.007043,             0.91996,              0.7406,             0.85218,             0.53203,            0.024899,           0.0059983,           0.0034136,             0.00703,             0.00703,             0.00703
                  32,             0.03412,            0.017772,           0.0078896,             0.89898,             0.72284,             0.84608,             0.51441,            0.025872,           0.0059685,           0.0047701,            0.006931,            0.006931,            0.006931
                  33,            0.034698,            0.017952,           0.0094861,             0.89386,             0.72878,             0.83749,             0.50006,            0.024071,           0.0060162,           0.0046165,            0.006832,            0.006832,            0.006832
                  34,             0.03344,            0.017248,           0.0079005,             0.86347,             0.81859,             0.86044,             0.53044,            0.024894,             0.00568,           0.0028912,            0.006733,            0.006733,            0.006733
                  35,            0.033244,            0.018322,           0.0076142,             0.82413,             0.80021,             0.86011,             0.51781,            0.025452,           0.0062349,           0.0027987,            0.006634,            0.006634,            0.006634
                  36,            0.033006,            0.018126,           0.0077383,             0.89175,             0.83215,             0.87542,             0.57616,            0.022835,           0.0056571,           0.0034501,            0.006535,            0.006535,            0.006535
                  37,            0.033841,            0.017527,           0.0072011,             0.77201,             0.86335,             0.84432,             0.51423,            0.025627,           0.0056478,           0.0025975,            0.006436,            0.006436,            0.006436
                  38,            0.031883,             0.01724,           0.0072122,             0.90973,             0.68323,             0.84004,             0.52667,            0.024283,           0.0059553,           0.0046137,            0.006337,            0.006337,            0.006337
                  39,            0.031998,            0.017013,            0.006916,             0.92066,             0.75052,                0.87,             0.57846,            0.023119,           0.0059549,             0.00361,            0.006238,            0.006238,            0.006238
                  40,            0.031936,             0.01757,           0.0061037,             0.88756,             0.86331,             0.92499,             0.58259,            0.021255,           0.0057194,            0.002298,            0.006139,            0.006139,            0.006139
                  41,            0.031064,            0.017178,            0.006283,             0.87453,             0.80134,             0.89788,             0.54627,            0.023866,           0.0056695,           0.0028423,             0.00604,             0.00604,             0.00604
                  42,            0.032543,            0.017714,           0.0066157,             0.85937,             0.83484,             0.89091,             0.54045,            0.022353,           0.0056636,           0.0022184,            0.005941,            0.005941,            0.005941
                  43,            0.031965,            0.017796,            0.006761,             0.90615,             0.81924,             0.89334,             0.56293,            0.022631,           0.0056156,           0.0035787,            0.005842,            0.005842,            0.005842
                  44,            0.032454,            0.017783,           0.0076018,             0.95263,             0.75777,             0.90737,             0.53984,            0.023044,           0.0057892,            0.003222,            0.005743,            0.005743,            0.005743
                  45,            0.030683,            0.017347,           0.0060705,             0.98628,             0.77847,             0.91339,              0.5825,            0.022526,           0.0053737,           0.0046566,            0.005644,            0.005644,            0.005644
                  46,            0.031635,             0.01691,           0.0070165,             0.94659,             0.84369,             0.93718,             0.59848,            0.021446,           0.0052037,           0.0026051,            0.005545,            0.005545,            0.005545
                  47,            0.030125,            0.017221,           0.0065665,             0.86933,             0.88923,              0.9162,             0.58534,            0.020802,           0.0053473,            0.002821,            0.005446,            0.005446,            0.005446
                  48,            0.031401,            0.017423,           0.0057582,             0.82218,             0.88181,             0.89545,             0.58369,            0.020875,           0.0056732,           0.0049874,            0.005347,            0.005347,            0.005347
                  49,              0.0303,            0.017197,           0.0064099,             0.90283,             0.79607,             0.88855,             0.58594,            0.021384,           0.0055552,           0.0048791,            0.005248,            0.005248,            0.005248
                  50,            0.029233,            0.016137,           0.0066937,             0.90481,             0.78543,             0.91013,             0.57017,            0.022127,           0.0053852,           0.0045271,            0.005149,            0.005149,            0.005149
                  51,            0.029526,            0.016431,           0.0065972,             0.90778,             0.86171,             0.91455,              0.5595,            0.023063,           0.0055273,           0.0039184,             0.00505,             0.00505,             0.00505
                  52,            0.030189,            0.016563,           0.0057663,             0.94418,             0.81519,             0.90925,             0.59316,            0.021574,           0.0051486,           0.0036373,            0.004951,            0.004951,            0.004951
                  53,            0.029239,            0.016675,           0.0055127,             0.87812,              0.8429,             0.86869,             0.55795,            0.023686,           0.0054391,            0.006748,            0.004852,            0.004852,            0.004852
                  54,            0.029989,            0.016354,           0.0051642,             0.87387,             0.75466,              0.8681,              0.5455,            0.024684,           0.0056319,           0.0058569,            0.004753,            0.004753,            0.004753
                  55,            0.030109,             0.01632,           0.0049116,             0.87759,             0.82147,             0.89028,             0.57664,            0.023487,           0.0053895,           0.0046142,            0.004654,            0.004654,            0.004654
                  56,            0.029923,            0.016638,           0.0053912,             0.92043,             0.84102,             0.89736,             0.60192,            0.022117,           0.0053392,           0.0028964,            0.004555,            0.004555,            0.004555
                  57,            0.026892,             0.01563,            0.006259,             0.96511,             0.87551,             0.91186,             0.56919,            0.022269,           0.0054117,           0.0028534,            0.004456,            0.004456,            0.004456
                  58,            0.028692,            0.015863,           0.0058884,             0.99144,             0.81921,             0.90756,             0.56984,            0.022713,           0.0056465,           0.0037578,            0.004357,            0.004357,            0.004357
                  59,            0.029711,            0.016949,           0.0057484,             0.91492,             0.92841,              0.9443,             0.58044,            0.021726,           0.0052368,           0.0019736,            0.004258,            0.004258,            0.004258
                  60,            0.030025,            0.016418,            0.005888,             0.96647,             0.85846,             0.92816,             0.60043,            0.021728,           0.0053754,           0.0032825,            0.004159,            0.004159,            0.004159
                  61,            0.028077,            0.015716,           0.0041722,             0.96667,             0.84868,             0.91738,             0.60559,            0.021933,           0.0050596,           0.0036208,             0.00406,             0.00406,             0.00406
                  62,            0.029011,            0.016266,           0.0053444,              0.8962,             0.87797,             0.91395,             0.58538,            0.021881,           0.0051322,           0.0025346,            0.003961,            0.003961,            0.003961
                  63,            0.027976,            0.016187,           0.0056094,             0.91566,             0.89117,             0.92822,             0.62417,               0.021,           0.0051617,           0.0019613,            0.003862,            0.003862,            0.003862
                  64,            0.028762,            0.016224,           0.0050417,             0.90037,             0.91256,             0.91656,             0.60294,            0.022355,           0.0052697,           0.0025063,            0.003763,            0.003763,            0.003763
                  65,            0.028202,             0.01623,           0.0048118,             0.86851,             0.85651,             0.90729,             0.60311,            0.021971,           0.0052969,           0.0029268,            0.003664,            0.003664,            0.003664
                  66,            0.027959,            0.016139,           0.0048602,             0.90977,             0.91304,             0.92976,             0.59437,            0.021791,           0.0053565,           0.0025558,            0.003565,            0.003565,            0.003565
                  67,            0.027104,            0.015983,           0.0051325,             0.97357,             0.91276,             0.94348,             0.59639,            0.021614,           0.0053575,           0.0028449,            0.003466,            0.003466,            0.003466
                  68,            0.027188,            0.015627,           0.0046238,             0.93727,             0.91304,             0.94788,             0.60528,            0.021487,           0.0052405,           0.0033088,            0.003367,            0.003367,            0.003367
                  69,            0.026469,             0.01498,           0.0053134,             0.93284,             0.85215,              0.9184,             0.61629,            0.021205,           0.0053208,           0.0044371,            0.003268,            0.003268,            0.003268
                  70,            0.027589,            0.015906,           0.0045355,             0.93598,             0.84161,             0.91791,             0.61533,            0.020787,           0.0052881,            0.005933,            0.003169,            0.003169,            0.003169
                  71,            0.025775,            0.015277,           0.0049352,             0.89644,             0.88923,             0.92615,             0.61066,            0.020746,           0.0054007,            0.005622,             0.00307,             0.00307,             0.00307
                  72,            0.026862,            0.015108,           0.0051479,             0.95999,             0.85533,             0.92502,             0.61164,            0.021221,           0.0054498,           0.0053248,            0.002971,            0.002971,            0.002971
                  73,            0.026129,            0.014935,           0.0046562,              0.9097,             0.84369,             0.92291,              0.6039,            0.021954,           0.0053208,           0.0048444,            0.002872,            0.002872,            0.002872
                  74,            0.025453,             0.01584,           0.0044686,             0.92183,             0.86218,             0.92813,             0.59602,            0.022232,           0.0054164,           0.0030391,            0.002773,            0.002773,            0.002773
                  75,            0.027249,            0.015484,           0.0046528,             0.95845,              0.8577,             0.93868,             0.61964,            0.021352,           0.0053587,           0.0032531,            0.002674,            0.002674,            0.002674
                  76,            0.025645,            0.015246,           0.0043225,              0.9597,             0.83722,             0.93129,              0.5981,             0.02195,           0.0052951,           0.0047046,            0.002575,            0.002575,            0.002575
                  77,             0.02575,            0.015014,           0.0043074,             0.79201,              0.8913,             0.91527,             0.60315,            0.022143,           0.0053462,           0.0062296,            0.002476,            0.002476,            0.002476
                  78,            0.025792,            0.015028,           0.0047897,             0.85534,             0.86957,              0.9134,             0.63555,            0.021227,           0.0050985,            0.006393,            0.002377,            0.002377,            0.002377
                  79,            0.024777,            0.015361,           0.0042131,             0.87513,             0.86224,             0.90175,              0.6163,            0.021677,           0.0052688,           0.0068886,            0.002278,            0.002278,            0.002278
                  80,            0.024869,             0.01477,           0.0043295,             0.90532,              0.8617,             0.90872,             0.60817,            0.022227,           0.0052672,           0.0072235,            0.002179,            0.002179,            0.002179
                  81,            0.025763,            0.015069,           0.0045698,             0.94014,             0.91304,             0.91828,             0.60255,            0.022677,           0.0049999,           0.0072238,             0.00208,             0.00208,             0.00208
                  82,             0.02541,            0.014484,           0.0046051,             0.93241,              0.8646,             0.91239,             0.58471,            0.022614,           0.0052207,           0.0063809,            0.001981,            0.001981,            0.001981
                  83,              0.0255,            0.015352,           0.0043471,             0.92806,             0.87751,             0.92079,             0.61541,            0.022029,           0.0052117,           0.0055421,            0.001882,            0.001882,            0.001882
                  84,            0.025679,            0.016002,            0.003683,               0.913,             0.86866,             0.92061,             0.60123,            0.021904,           0.0051787,           0.0057675,            0.001783,            0.001783,            0.001783
                  85,            0.025725,            0.015391,           0.0044369,             0.87496,             0.88908,             0.92458,             0.61615,            0.021169,            0.005232,            0.005219,            0.001684,            0.001684,            0.001684
                  86,            0.026049,            0.015072,           0.0041923,             0.90425,             0.88917,             0.92055,             0.60076,            0.021943,           0.0054254,           0.0046874,            0.001585,            0.001585,            0.001585
                  87,            0.024574,            0.014308,           0.0033961,             0.91935,             0.84162,             0.91986,              0.5854,             0.02234,           0.0054705,           0.0042257,            0.001486,            0.001486,            0.001486
                  88,            0.024165,            0.014478,           0.0035386,             0.99715,             0.81855,             0.92393,             0.60993,            0.022038,           0.0053754,           0.0045955,            0.001387,            0.001387,            0.001387
                  89,             0.02409,            0.014817,           0.0033444,              0.9733,             0.77847,               0.922,             0.61311,            0.021717,           0.0051913,           0.0046549,            0.001288,            0.001288,            0.001288
                  90,            0.024495,            0.014806,           0.0037426,             0.89377,             0.86117,             0.92069,             0.60497,            0.021727,           0.0051808,           0.0046937,            0.001189,            0.001189,            0.001189
                  91,            0.024041,            0.014105,           0.0031571,             0.89315,             0.86592,             0.92363,             0.59011,            0.021816,           0.0051423,           0.0046455,             0.00109,             0.00109,             0.00109
                  92,            0.024497,            0.014627,           0.0032807,             0.86767,             0.89878,             0.92352,             0.59971,            0.021259,           0.0051103,           0.0048752,            0.000991,            0.000991,            0.000991
                  93,             0.02399,            0.014318,           0.0035446,              0.8999,             0.85306,             0.92948,             0.61373,            0.020706,           0.0051481,           0.0047001,            0.000892,            0.000892,            0.000892
                  94,            0.025746,            0.014793,           0.0030335,             0.92087,             0.82605,             0.93223,             0.62791,            0.020701,           0.0051818,           0.0043625,            0.000793,            0.000793,            0.000793
                  95,            0.024621,            0.014445,           0.0040193,             0.90144,              0.8913,             0.93363,             0.60493,            0.020906,           0.0051058,           0.0037209,            0.000694,            0.000694,            0.000694
                  96,            0.024392,            0.014305,           0.0039441,             0.91997,             0.86845,             0.93362,             0.60559,            0.020837,           0.0051647,            0.003637,            0.000595,            0.000595,            0.000595
                  97,            0.022976,            0.014123,           0.0026936,             0.88409,             0.86177,             0.92976,             0.59973,            0.020657,           0.0051508,           0.0043063,            0.000496,            0.000496,            0.000496
                  98,            0.023422,            0.014289,           0.0035676,             0.88452,              0.8797,             0.93307,             0.60887,            0.020937,           0.0050995,           0.0044034,            0.000397,            0.000397,            0.000397
                  99,            0.024426,            0.014506,             0.00334,             0.93787,             0.83639,             0.93746,             0.61485,            0.020437,           0.0050623,           0.0036447,            0.000298,            0.000298,            0.000298
